negatives
"frozenset({'P62995', 'Alpha6Beta4Integrin', 'O75531'})"
"frozenset({'Q15370', 'Q14320', 'Alpha6Beta4Integrin'})"
"frozenset({'Q15717', 'Alpha6Beta4Integrin', 'Q96E66'})"
"frozenset({'P05067', 'Alpha6Beta4Integrin', 'O75947'})"
"frozenset({'P33552', 'P23528', 'Alpha6Beta4Integrin'})"
"frozenset({'P49736', 'Alpha6Beta4Integrin', 'Q9Y2X8'})"
"frozenset({'P62873', 'Q9UGF7', 'Alpha6Beta4Integrin'})"
"frozenset({'Q93009', 'Alpha6Beta4Integrin', 'Q9HBZ2'})"
"frozenset({'P06213', 'Q13257', 'Alpha6Beta4Integrin'})"
"frozenset({'P01889', 'Alpha6Beta4Integrin', 'Q6IBW4'})"
"frozenset({'Q06323', 'P23258', 'Alpha6Beta4Integrin'})"
"frozenset({'P00533', 'Q9UNE7', 'Alpha6Beta4Integrin'})"
"frozenset({'Q5M775', 'Q92614', 'Alpha6Beta4Integrin'})"
"frozenset({'P05067', 'Q99578', 'Alpha6Beta4Integrin'})"
"frozenset({'P62993', 'P62888', 'Alpha6Beta4Integrin'})"
"frozenset({'Q15562', 'P10589', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NWT6', 'Alpha6Beta4Integrin', 'Q8IUQ4'})"
"frozenset({'Q9H9J4', 'P00918', 'Alpha6Beta4Integrin'})"
"frozenset({'Q92905', 'P05387', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NUX5', 'P50747', 'Alpha6Beta4Integrin'})"
"frozenset({'P13639', 'Q9UGJ0', 'Alpha6Beta4Integrin'})"
"frozenset({'Q07666', 'Q96T37', 'Alpha6Beta4Integrin'})"
"frozenset({'O14829', 'O95573', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y3M2', 'Alpha6Beta4Integrin', 'Q00534'})"
"frozenset({'Q06265', 'Q9GZX7', 'Alpha6Beta4Integrin'})"
"frozenset({'P00533', 'P51571', 'Alpha6Beta4Integrin'})"
"frozenset({'P62906', 'Q76FK4', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q92604', 'Q8IWL3'})"
"frozenset({'O95995', 'Alpha6Beta4Integrin', 'O00444'})"
"frozenset({'P51685', 'Alpha6Beta4Integrin', 'Q9Y258'})"
"frozenset({'Q8N6Y0', 'Q969F0', 'Alpha6Beta4Integrin'})"
"frozenset({'P51587', 'Alpha6Beta4Integrin', 'P60896'})"
"frozenset({'Q9UHC7', 'Alpha6Beta4Integrin', 'Q15717'})"
"frozenset({'Q16778', 'P31749', 'Alpha6Beta4Integrin'})"
"frozenset({'P11362', 'P36941', 'Alpha6Beta4Integrin'})"
"frozenset({'O14775', 'P62873', 'Alpha6Beta4Integrin'})"
"frozenset({'P55058', 'Q5T7M9', 'Alpha6Beta4Integrin'})"
"frozenset({'P05067', 'Alpha6Beta4Integrin', 'Q99798'})"
"frozenset({'Q9NRD1', 'P63261', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y248', 'Alpha6Beta4Integrin', 'O96017'})"
"frozenset({'P08670', 'Q9UM73', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H1R3', 'O14950', 'Alpha6Beta4Integrin'})"
"frozenset({'P05455', 'Alpha6Beta4Integrin', 'P16104'})"
"frozenset({'Alpha6Beta4Integrin', 'P01889', 'P43632'})"
"frozenset({'P49759', 'O75376', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NQS3', 'Q9BYR5', 'Alpha6Beta4Integrin'})"
"frozenset({'P56746', 'Alpha6Beta4Integrin', 'P56748'})"
"frozenset({'P27348', 'Alpha6Beta4Integrin', 'P19838'})"
"frozenset({'P78369', 'Q96B33', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P51795', 'O15066'})"
"frozenset({'Q9Y297', 'Alpha6Beta4Integrin', 'Q92665'})"
"frozenset({'P55735', 'O95817', 'Alpha6Beta4Integrin'})"
"frozenset({'Q70Z53', 'Q8N5F7', 'Alpha6Beta4Integrin'})"
"frozenset({'O60671', 'Q9H492', 'Alpha6Beta4Integrin'})"
"frozenset({'Q14653', 'O15379', 'Alpha6Beta4Integrin'})"
"frozenset({'P62280', 'Q6ZVD8', 'Alpha6Beta4Integrin'})"
"frozenset({'P62079', 'Alpha6Beta4Integrin', 'Q9BTX1'})"
"frozenset({'Q5JRX3', 'Q5T160', 'Alpha6Beta4Integrin'})"
"frozenset({'P51805', 'Q9NUQ6', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NY33', 'P49917', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H3P7', 'Q9BTW9', 'Alpha6Beta4Integrin'})"
"frozenset({'P52333', 'Q9HC73', 'Alpha6Beta4Integrin'})"
"frozenset({'O95995', 'Alpha6Beta4Integrin', 'Q8TDD2'})"
"frozenset({'Q9BQY4', 'Alpha6Beta4Integrin', 'Q9NV39'})"
"frozenset({'Q15744', 'Alpha6Beta4Integrin', 'P13232'})"
"frozenset({'Q9NQW6', 'Alpha6Beta4Integrin', 'Q8N4C6'})"
"frozenset({'Q7Z3S9', 'Alpha6Beta4Integrin', 'P07949'})"
"frozenset({'Q32P28', 'O43847', 'Alpha6Beta4Integrin'})"
"frozenset({'Q4LE39', 'Alpha6Beta4Integrin', 'P14921'})"
"frozenset({'P55040', 'Alpha6Beta4Integrin', 'A6NEM1'})"
"frozenset({'P13796', 'P49023', 'Alpha6Beta4Integrin'})"
"frozenset({'Q93009', 'Q9Y3C5', 'Alpha6Beta4Integrin'})"
"frozenset({'P22681', 'Alpha6Beta4Integrin', 'P40189'})"
"frozenset({'Q5SQN1', 'Q13190', 'Alpha6Beta4Integrin'})"
"frozenset({'P31749', 'Alpha6Beta4Integrin', 'P62937'})"
"frozenset({'Q96CS3', 'Q9UBE0', 'Alpha6Beta4Integrin'})"
"frozenset({'P07550', 'P07437', 'Alpha6Beta4Integrin'})"
"frozenset({'P07910', 'Alpha6Beta4Integrin', 'P49736'})"
"frozenset({'P58181', 'Alpha6Beta4Integrin', 'P22694'})"
"frozenset({'Alpha6Beta4Integrin', 'P01588', 'Q99814'})"
"frozenset({'Q05397', 'Alpha6Beta4Integrin', 'Q15759'})"
"frozenset({'Q9Y5V3', 'Alpha6Beta4Integrin', 'Q16637'})"
"frozenset({'Q9Y3I0', 'P63104', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UQL6', 'Alpha6Beta4Integrin', 'Q05655'})"
"frozenset({'Q14BN4', 'O75665', 'Alpha6Beta4Integrin'})"
"frozenset({'P61201', 'P11473', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9ULF5', 'Q9BU64', 'Alpha6Beta4Integrin'})"
"frozenset({'P62917', 'Q99757', 'Alpha6Beta4Integrin'})"
"frozenset({'O96020', 'P01106', 'Alpha6Beta4Integrin'})"
"frozenset({'Q86Y33', 'Q9NTJ4', 'Alpha6Beta4Integrin'})"
"frozenset({'Q7L8L6', 'Alpha6Beta4Integrin', 'Q86UT6'})"
"frozenset({'P60900', 'P49917', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96ST3', 'Q13620', 'Alpha6Beta4Integrin'})"
"frozenset({'O60934', 'Q68E01', 'Alpha6Beta4Integrin'})"
"frozenset({'Q00839', 'Q6PKG0', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96CN7', 'P68371', 'Alpha6Beta4Integrin'})"
"frozenset({'P98175', 'Alpha6Beta4Integrin', 'O95433'})"
"frozenset({'Q9H9B4', 'P35226', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96GM5', 'Alpha6Beta4Integrin', 'P06400'})"
"frozenset({'Alpha6Beta4Integrin', 'Q07021', 'P50749'})"
"frozenset({'Q12824', 'P18583', 'Alpha6Beta4Integrin'})"
"frozenset({'P55072', 'O60678', 'Alpha6Beta4Integrin'})"
"frozenset({'P26045', 'Alpha6Beta4Integrin', 'P31946'})"
"frozenset({'P16455', 'Alpha6Beta4Integrin', 'P29074'})"
"frozenset({'Q96SW2', 'P62993', 'Alpha6Beta4Integrin'})"
"frozenset({'P60174', 'P05067', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H2G2', 'Alpha6Beta4Integrin', 'P06493'})"
"frozenset({'Q9BYQ0', 'P50222', 'Alpha6Beta4Integrin'})"
"frozenset({'Q92734', 'Q13772', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8IV38', 'Q6UWE0', 'Alpha6Beta4Integrin'})"
"frozenset({'P06737', 'P60520', 'Alpha6Beta4Integrin'})"
"frozenset({'O43739', 'P15408', 'Alpha6Beta4Integrin'})"
"frozenset({'P04075', 'Q7Z6Z7', 'Alpha6Beta4Integrin'})"
"frozenset({'P60842', 'Q9BTV4', 'Alpha6Beta4Integrin'})"
"frozenset({'P60409', 'Alpha6Beta4Integrin', 'Q9BYQ4'})"
"frozenset({'O14646', 'Alpha6Beta4Integrin', 'P49715'})"
"frozenset({'O43819', 'Alpha6Beta4Integrin', 'O95182'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96M98', 'Q4G0X9'})"
"frozenset({'Q9Y2H9', 'P29474', 'Alpha6Beta4Integrin'})"
"frozenset({'P28906', 'Alpha6Beta4Integrin', 'Q13952'})"
"frozenset({'O95995', 'Q8WV44', 'Alpha6Beta4Integrin'})"
"frozenset({'P61964', 'P22415', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9HCF6', 'P13725', 'Alpha6Beta4Integrin'})"
"frozenset({'O43521', 'O75348', 'Alpha6Beta4Integrin'})"
"frozenset({'P57060', 'P50570', 'Alpha6Beta4Integrin'})"
"frozenset({'Q15369', 'Q9H765', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P10276', 'P55075'})"
"frozenset({'Q92769', 'P68400', 'Alpha6Beta4Integrin'})"
"frozenset({'P61289', 'Q63HK5', 'Alpha6Beta4Integrin'})"
"frozenset({'P61106', 'P35244', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BYV2', 'Q92556', 'Alpha6Beta4Integrin'})"
"frozenset({'O15320', 'Alpha6Beta4Integrin', 'Q8IWL3'})"
"frozenset({'Q13617', 'Alpha6Beta4Integrin', 'P62877'})"
"frozenset({'Q8N0Z6', 'Q9BVA1', 'Alpha6Beta4Integrin'})"
"frozenset({'Q04118', 'Alpha6Beta4Integrin', 'P02768'})"
"frozenset({'Q9NYZ3', 'Q15436', 'Alpha6Beta4Integrin'})"
"frozenset({'P56537', 'Alpha6Beta4Integrin', 'Q14103'})"
"frozenset({'P12883', 'Q8N1B3', 'Alpha6Beta4Integrin'})"
"frozenset({'P60410', 'Q5TA78', 'Alpha6Beta4Integrin'})"
"frozenset({'P40337', 'Alpha6Beta4Integrin', 'P62330'})"
"frozenset({'P35240', 'Q8NC51', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NQ29', 'Q7L2J0', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13643', 'Alpha6Beta4Integrin', 'Q6RVD6'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UQ07', 'Q9NVS9'})"
"frozenset({'Q96GM5', 'O75031', 'Alpha6Beta4Integrin'})"
"frozenset({'P19784', 'O75822', 'Alpha6Beta4Integrin'})"
"frozenset({'P25685', 'Alpha6Beta4Integrin', 'Q16543'})"
"frozenset({'Q99460', 'P35998', 'Alpha6Beta4Integrin'})"
"frozenset({'P26358', 'Alpha6Beta4Integrin', 'Q13547'})"
"frozenset({'P49366', 'P09455', 'Alpha6Beta4Integrin'})"
"frozenset({'O95625', 'Alpha6Beta4Integrin', 'Q9BYG3'})"
"frozenset({'Q9P2J3', 'Q13619', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9ULV8', 'O15069', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P52815', 'Q8TAE8'})"
"frozenset({'P10275', 'Alpha6Beta4Integrin', 'O94906'})"
"frozenset({'Q92729', 'Alpha6Beta4Integrin', 'P04626'})"
"frozenset({'Q8IUD2', 'Q9NXC2', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BW61', 'Alpha6Beta4Integrin', 'P00558'})"
"frozenset({'P04150', 'Alpha6Beta4Integrin', 'P14921'})"
"frozenset({'O15121', 'P11217', 'Alpha6Beta4Integrin'})"
"frozenset({'P10244', 'Alpha6Beta4Integrin', 'P50750'})"
"frozenset({'Q5VSL9', 'Q9NVK5', 'Alpha6Beta4Integrin'})"
"frozenset({'P49207', 'P62906', 'Alpha6Beta4Integrin'})"
"frozenset({'O95817', 'Alpha6Beta4Integrin', 'Q96KN4'})"
"frozenset({'Q9UNE7', 'Q16584', 'Alpha6Beta4Integrin'})"
"frozenset({'P30481', 'P30457', 'Alpha6Beta4Integrin'})"
"frozenset({'O95996', 'Alpha6Beta4Integrin', 'P16035'})"
"frozenset({'Q99459', 'Alpha6Beta4Integrin', 'O95758'})"
"frozenset({'P30153', 'Alpha6Beta4Integrin', 'O96017'})"
"frozenset({'P22612', 'Alpha6Beta4Integrin', 'Q7Z3S7'})"
"frozenset({'O75448', 'Alpha6Beta4Integrin', 'P05067'})"
"frozenset({'Q6P2D8', 'Q9UBU9', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9C0B7', 'Alpha6Beta4Integrin', 'Q9UPN3'})"
"frozenset({'Q9UQL6', 'P56192', 'Alpha6Beta4Integrin'})"
"frozenset({'P42574', 'O14727', 'Alpha6Beta4Integrin'})"
"frozenset({'P43121', 'Q8NB49', 'Alpha6Beta4Integrin'})"
"frozenset({'P18615', 'Alpha6Beta4Integrin', 'Q8IXW5'})"
"frozenset({'Q02241', 'Q9NRC8', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y6K9', 'Q9NQC7', 'Alpha6Beta4Integrin'})"
"frozenset({'Q14627', 'P05000', 'Alpha6Beta4Integrin'})"
"frozenset({'Q12769', 'Alpha6Beta4Integrin', 'P57740'})"
"frozenset({'Q13123', 'Q14151', 'Alpha6Beta4Integrin'})"
"frozenset({'Q7Z2T5', 'Q08050', 'Alpha6Beta4Integrin'})"
"frozenset({'P08758', 'Q9UMR5', 'Alpha6Beta4Integrin'})"
"frozenset({'Q68CZ1', 'Q9H0H5', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P27708', 'Q9Y230'})"
"frozenset({'P15622', 'P49910', 'Alpha6Beta4Integrin'})"
"frozenset({'Q07627', 'Q2WGJ6', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UM11', 'Alpha6Beta4Integrin', 'O60566'})"
"frozenset({'Alpha6Beta4Integrin', 'O60902', 'Q13952'})"
"frozenset({'P98175', 'Alpha6Beta4Integrin', 'O15254'})"
"frozenset({'Q9Y478', 'Q9UBQ5', 'Alpha6Beta4Integrin'})"
"frozenset({'Q01094', 'P43121', 'Alpha6Beta4Integrin'})"
"frozenset({'Q969J5', 'Alpha6Beta4Integrin', 'Q8TAD2'})"
"frozenset({'P05412', 'P63000', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13618', 'Alpha6Beta4Integrin', 'Q9UMS4'})"
"frozenset({'Q96P48', 'Alpha6Beta4Integrin', 'P47755'})"
"frozenset({'Q9NRA8', 'P14324', 'Alpha6Beta4Integrin'})"
"frozenset({'Q69YH5', 'Alpha6Beta4Integrin', 'Q96GD4'})"
"frozenset({'Q8NGJ2', 'P38405', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BVP2', 'Alpha6Beta4Integrin', 'P23396'})"
"frozenset({'Q9UQK1', 'Q93100', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96A00', 'P63104', 'Alpha6Beta4Integrin'})"
"frozenset({'P61019', 'P62491', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13618', 'Alpha6Beta4Integrin', 'O15397'})"
"frozenset({'P62873', 'Alpha6Beta4Integrin', 'O95467'})"
"frozenset({'P63173', 'Q92754', 'Alpha6Beta4Integrin'})"
"frozenset({'P69905', 'P69892', 'Alpha6Beta4Integrin'})"
"frozenset({'P28715', 'P04792', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y4E1', 'P52907', 'Alpha6Beta4Integrin'})"
"frozenset({'Q5TGZ0', 'Alpha6Beta4Integrin', 'Q16891'})"
"frozenset({'P04637', 'Alpha6Beta4Integrin', 'P48634'})"
"frozenset({'Alpha6Beta4Integrin', 'P35244', 'P20700'})"
"frozenset({'P62136', 'Alpha6Beta4Integrin', 'Q13625'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9Y2X9', 'P52739'})"
"frozenset({'P14373', 'Q8TDQ7', 'Alpha6Beta4Integrin'})"
"frozenset({'Q99741', 'Alpha6Beta4Integrin', 'Q13315'})"
"frozenset({'Q9H8Y8', 'Q8IZ73', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UQ35', 'Alpha6Beta4Integrin', 'Q02878'})"
"frozenset({'Q09472', 'Q8N9B5', 'Alpha6Beta4Integrin'})"
"frozenset({'P05129', 'Alpha6Beta4Integrin', 'Q4KWH8'})"
"frozenset({'Q9Y679', 'P04114', 'Alpha6Beta4Integrin'})"
"frozenset({'P35354', 'Alpha6Beta4Integrin', 'Q9UPT9'})"
"frozenset({'P24534', 'Alpha6Beta4Integrin', 'P09012'})"
"frozenset({'P61978', 'P04183', 'Alpha6Beta4Integrin'})"
"frozenset({'P24864', 'Q969G3', 'Alpha6Beta4Integrin'})"
"frozenset({'Q93009', 'Q8IYM9', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8IVD9', 'Alpha6Beta4Integrin', 'P04626'})"
"frozenset({'Q5T753', 'Q701N4', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NZC7', 'Q9Y4G8', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H0C8', 'Alpha6Beta4Integrin', 'Q8NFZ0'})"
"frozenset({'P05187', 'P35244', 'Alpha6Beta4Integrin'})"
"frozenset({'P78318', 'Alpha6Beta4Integrin', 'Q96AZ1'})"
"frozenset({'Q9Y6Q9', 'Alpha6Beta4Integrin', 'P25788'})"
"frozenset({'Q9Y3E0', 'Q9UNQ0', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H2J4', 'Alpha6Beta4Integrin', 'P57775'})"
"frozenset({'P61221', 'Q15046', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q99880', 'P21675'})"
"frozenset({'P16885', 'P19419', 'Alpha6Beta4Integrin'})"
"frozenset({'P98095', 'Alpha6Beta4Integrin', 'P29400'})"
"frozenset({'Alpha6Beta4Integrin', 'O94782', 'P27482'})"
"frozenset({'Q969U6', 'Alpha6Beta4Integrin', 'O43318'})"
"frozenset({'O00560', 'Alpha6Beta4Integrin', 'Q9NZ81'})"
"frozenset({'P14316', 'Q9Y5Z7', 'Alpha6Beta4Integrin'})"
"frozenset({'P09669', 'Q96PM5', 'Alpha6Beta4Integrin'})"
"frozenset({'O43242', 'Q9UKV5', 'Alpha6Beta4Integrin'})"
"frozenset({'P12931', 'Q96NS5', 'Alpha6Beta4Integrin'})"
"frozenset({'Q92901', 'Q02543', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H993', 'Q9HC77', 'Alpha6Beta4Integrin'})"
"frozenset({'Q5VZ89', 'Q8TC76', 'Alpha6Beta4Integrin'})"
"frozenset({'P23560', 'P08581', 'Alpha6Beta4Integrin'})"
"frozenset({'O75528', 'P45974', 'Alpha6Beta4Integrin'})"
"frozenset({'O00213', 'P50552', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P38398', 'Q8IZC4'})"
"frozenset({'Alpha6Beta4Integrin', 'O00567', 'Q8NI36'})"
"frozenset({'O60341', 'O43482', 'Alpha6Beta4Integrin'})"
"frozenset({'P09661', 'Alpha6Beta4Integrin', 'O95926'})"
"frozenset({'P52797', 'Alpha6Beta4Integrin', 'P10721'})"
"frozenset({'P31749', 'Alpha6Beta4Integrin', 'O95433'})"
"frozenset({'O95793', 'Q9NRC8', 'Alpha6Beta4Integrin'})"
"frozenset({'P09234', 'Q9BQ04', 'Alpha6Beta4Integrin'})"
"frozenset({'P19237', 'P12883', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y371', 'Q6P3W7', 'Alpha6Beta4Integrin'})"
"frozenset({'Q92570', 'Q16665', 'Alpha6Beta4Integrin'})"
"frozenset({'P0C5Z0', 'Q8WUI4', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UKJ5', 'Q5T5A8', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NRF9', 'Alpha6Beta4Integrin', 'P51610'})"
"frozenset({'Q8NCB2', 'Q16854', 'Alpha6Beta4Integrin'})"
"frozenset({'P22314', 'Q92598', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13555', 'Q14524', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13557', 'Alpha6Beta4Integrin', 'Q9P212'})"
"frozenset({'Q86X19', 'P17706', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13573', 'O43660', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BTZ2', 'Alpha6Beta4Integrin', 'P04637'})"
"frozenset({'P10398', 'Alpha6Beta4Integrin', 'Q96EK5'})"
"frozenset({'Q9BT76', 'Q92614', 'Alpha6Beta4Integrin'})"
"frozenset({'Q14241', 'Alpha6Beta4Integrin', 'Q99728'})"
"frozenset({'Q9Y6Y9', 'Alpha6Beta4Integrin', 'Q8IWL1'})"
"frozenset({'Q9UL03', 'Alpha6Beta4Integrin', 'P62487'})"
"frozenset({'P61247', 'Q969P0', 'Alpha6Beta4Integrin'})"
"frozenset({'P61952', 'P35414', 'Alpha6Beta4Integrin'})"
"frozenset({'P54646', 'Q15654', 'Alpha6Beta4Integrin'})"
"frozenset({'P04156', 'Alpha6Beta4Integrin', 'Q96LT9'})"
"frozenset({'P60411', 'Q5TA78', 'Alpha6Beta4Integrin'})"
"frozenset({'Q15645', 'O95388', 'Alpha6Beta4Integrin'})"
"frozenset({'O60506', 'Q9H040', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13188', 'Alpha6Beta4Integrin', 'Q9NRM7'})"
"frozenset({'Q9NRM2', 'Alpha6Beta4Integrin', 'P38432'})"
"frozenset({'Q9Y3D3', 'Q6PF06', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96RU8', 'Alpha6Beta4Integrin', 'P45985'})"
"frozenset({'Q8N4V1', 'P78332', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UL46', 'P62191', 'Alpha6Beta4Integrin'})"
"frozenset({'Q68CZ1', 'Alpha6Beta4Integrin', 'Q9P0I2'})"
"frozenset({'P37198', 'Alpha6Beta4Integrin', 'P06454'})"
"frozenset({'P30050', 'P36578', 'Alpha6Beta4Integrin'})"
"frozenset({'Q16718', 'P61006', 'Alpha6Beta4Integrin'})"
"frozenset({'P62837', 'Alpha6Beta4Integrin', 'Q8N5U6'})"
"frozenset({'P03372', 'Alpha6Beta4Integrin', 'P54855'})"
"frozenset({'P04629', 'Alpha6Beta4Integrin', 'Q9H1B7'})"
"frozenset({'P45984', 'Alpha6Beta4Integrin', 'Q9UKV0'})"
"frozenset({'P49757', 'Alpha6Beta4Integrin', 'Q8TAK6'})"
"frozenset({'Q9BVG8', 'Q13772', 'Alpha6Beta4Integrin'})"
"frozenset({'P05089', 'P61244', 'Alpha6Beta4Integrin'})"
"frozenset({'P49366', 'Alpha6Beta4Integrin', 'P62256'})"
"frozenset({'Q9NY65', 'Q96CW5', 'Alpha6Beta4Integrin'})"
"frozenset({'Q99650', 'Alpha6Beta4Integrin', 'P20809'})"
"frozenset({'Q8N1I0', 'P84095', 'Alpha6Beta4Integrin'})"
"frozenset({'O75530', 'Alpha6Beta4Integrin', 'P49916'})"
"frozenset({'P12883', 'P60468', 'Alpha6Beta4Integrin'})"
"frozenset({'Q15047', 'Q9H0E2', 'Alpha6Beta4Integrin'})"
"frozenset({'P30086', 'Alpha6Beta4Integrin', 'P62937'})"
"frozenset({'Q13188', 'Alpha6Beta4Integrin', 'O94905'})"
"frozenset({'Q5VU43', 'Alpha6Beta4Integrin', 'Q96BZ8'})"
"frozenset({'Alpha6Beta4Integrin', 'P61923', 'Q07021'})"
"frozenset({'Q96EK4', 'Q15018', 'Alpha6Beta4Integrin'})"
"frozenset({'Q05397', 'P04004', 'Alpha6Beta4Integrin'})"
"frozenset({'P54727', 'Alpha6Beta4Integrin', 'P78424'})"
"frozenset({'P17931', 'P30049', 'Alpha6Beta4Integrin'})"
"frozenset({'P84090', 'Alpha6Beta4Integrin', 'Q15022'})"
"frozenset({'O43745', 'Alpha6Beta4Integrin', 'P19634'})"
"frozenset({'P63165', 'Q9HC62', 'Alpha6Beta4Integrin'})"
"frozenset({'P05412', 'P82933', 'Alpha6Beta4Integrin'})"
"frozenset({'O14777', 'Alpha6Beta4Integrin', 'P36873'})"
"frozenset({'O60812', 'Q96SW2', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BTX3', 'P41743', 'Alpha6Beta4Integrin'})"
"frozenset({'O75553', 'Alpha6Beta4Integrin', 'P51693'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13616', 'Q08211'})"
"frozenset({'Q9Y5B8', 'Alpha6Beta4Integrin', 'Q66GS9'})"
"frozenset({'Q15843', 'Alpha6Beta4Integrin', 'Q9UBW8'})"
"frozenset({'P29083', 'Alpha6Beta4Integrin', 'Q15029'})"
"frozenset({'P16070', 'Alpha6Beta4Integrin', 'P20849'})"
"frozenset({'P10909', 'Alpha6Beta4Integrin', 'P53350'})"
"frozenset({'Q8TDD1', 'Q5HYA8', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9HCE7', 'Alpha6Beta4Integrin', 'Q8NER5'})"
"frozenset({'Q16659', 'Alpha6Beta4Integrin', 'Q15717'})"
"frozenset({'Q7Z3Z0', 'Alpha6Beta4Integrin', 'O60437'})"
"frozenset({'Q08499', 'Alpha6Beta4Integrin', 'Q13813'})"
"frozenset({'P13727', 'Q96RT7', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UBS0', 'P46940', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8TAU3', 'Q96GM5', 'Alpha6Beta4Integrin'})"
"frozenset({'O94925', 'Q9UHK0', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BW85', 'O75934', 'Alpha6Beta4Integrin'})"
"frozenset({'P78527', 'P63279', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P25025', 'Q16663'})"
"frozenset({'P05783', 'Alpha6Beta4Integrin', 'P02671'})"
"frozenset({'Q9ULJ6', 'P37275', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y296', 'Alpha6Beta4Integrin', 'Q86SZ2'})"
"frozenset({'P29590', 'Alpha6Beta4Integrin', 'P43356'})"
"frozenset({'P62888', 'P42677', 'Alpha6Beta4Integrin'})"
"frozenset({'P0DMV8', 'P04083', 'Alpha6Beta4Integrin'})"
"frozenset({'P11308', 'P00749', 'Alpha6Beta4Integrin'})"
"frozenset({'P12931', 'P42679', 'Alpha6Beta4Integrin'})"
"frozenset({'P32969', 'Q14919', 'Alpha6Beta4Integrin'})"
"frozenset({'P28072', 'Alpha6Beta4Integrin', 'P35998'})"
"frozenset({'Q8NBX0', 'Alpha6Beta4Integrin', 'Q99871'})"
"frozenset({'Q15788', 'Alpha6Beta4Integrin', 'O14497'})"
"frozenset({'P52209', 'Alpha6Beta4Integrin', 'Q01469'})"
"frozenset({'O43426', 'Q99963', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q14103', 'P06454'})"
"frozenset({'Q8IUE6', 'P55209', 'Alpha6Beta4Integrin'})"
